,MASS,COMMON_NAME,FORMULA
92,649.4683,PC(10:0/16:0);PC(12:0/14:0);PC(13:0/13:0);PC(14:0/12:0);PC(16:0/10:0);PC(17:0/9:0);PC(8:0/18:0),C34H68NO8P
93,651.4475,PC(O-16:0/9:0(COOH)),C33H66NO9P
94,661.4683,PC(12:0/15:1(9Z));PC(13:0/14:1(9Z));PC(14:1(9Z)/13:0);PC(15:1(9Z)/12:0),C35H68NO8P
95,661.5046,PC(P-16:0/12:0),C36H72NO7P
96,663.4839,PC(11:0/16:0);PC(12:0/15:0);PC(13:0/14:0);PC(14:0/13:0);PC(15:0/12:0);PC(17:0/10:0);PC(8:0/19:0);PC(9:0/18:0),C35H70NO8P
97,663.5203,PC(O-16:0/12:0),C36H74NO7P
98,673.4683,"PC(10:0/18:2(9Z,12Z));PC(14:1(9E)/14:1(9E));PC(14:1(9Z)/14:1(9Z))",C36H68NO8P
99,675.4839,PC(10:0/18:1(9Z));PC(12:0/16:1(9Z));PC(13:0/15:1(9Z));PC(14:0/14:1(9Z));PC(14:1(9Z)/14:0);PC(15:1(9Z)/13:0);PC(16:1(9Z)/12:0),C36H70NO8P
100,675.5203,PC(P-16:0/13:0),C37H74NO7P
101,677.4996,PC(10:0/18:0);PC(11:0/17:0);PC(12:0/16:0);PC(13:0/15:0);PC(14:0/14:0);PC(15:0/13:0);PC(16:0/12:0);PC(17:0/11:0);PC(18:0/10:0);PC(19:0/9:0);PC(7:0/21:0);PC(8:0/20:0);PC(9:0/19:0),C36H72NO8P
102,677.5359,PC(O-14:0/15:0);PC(O-16:0/13:0),C37H76NO7P
103,687.4839,"PC(12:0/17:2(9Z,12Z));PC(14:1(9Z)/15:1(9Z));PC(15:1(9Z)/14:1(9Z));PC(17:2(9Z,12Z)/12:0)",C37H70NO8P
104,687.5203,PC(P-16:0/14:1(9Z)),C38H74NO7P
105,689.4996,PC(12:0/17:1(9Z));PC(13:0/16:1(9Z));PC(14:0/15:1(9Z));PC(14:1(9Z)/15:0);PC(15:0/14:1(9Z));PC(15:1(9Z)/14:0);PC(16:1(9Z)/13:0);PC(17:1(9Z)/12:0);PC(18:0/11:1(10E)),C37H72NO8P
106,689.5359,PC(O-14:0/16:1(9Z));PC(O-16:0/14:1(9Z));PC(P-16:0/14:0);PC(P-18:0/12:0),C38H76NO7P
107,691.5152,PC(10:0/19:0);PC(12:0/17:0);PC(13:0/16:0);PC(14:0/15:0);PC(15:0/14:0);PC(16:0/13:0);PC(17:0/12:0);PC(19:0/10:0);PC(20:0/9:0);PC(8:0/21:0);PC(9:0/20:0),C37H74NO8P
108,691.5516,PC(O-14:0/16:0);PC(O-16:0/14:0);PC(O-18:0/12:0),C38H78NO7P
109,697.4683,"PC(12:0/18:4(6Z,9Z,12Z,15Z));PC(18:4(6Z,9Z,12Z,15Z)/12:0)",C38H68NO8P
110,699.4839,"PC(12:0/18:3(6Z,9Z,12Z));PC(12:0/18:3(9Z,12Z,15Z));PC(18:3(6Z,9Z,12Z)/12:0);PC(18:3(9Z,12Z,15Z)/12:0)",C38H70NO8P
111,701.4996,"PC(12:0/18:2(9Z,12Z));PC(13:0/17:2(9Z,12Z));PC(14:1(9Z)/16:1(9Z));PC(15:1(9Z)/15:1(9Z));PC(16:1(9Z)/14:1(9Z));PC(17:2(9Z,12Z)/13:0);PC(18:2(9Z,12Z)/12:0)",C38H72NO8P
112,701.5359,PC(P-16:0/15:1(9Z)),C39H76NO7P
113,703.5152,PC(12:0/18:1(9Z));PC(13:0/17:1(9Z));PC(14:0/16:1(9Z));PC(14:1(9Z)/16:0);PC(15:0/15:1(9Z));PC(15:1(9Z)/15:0);PC(16:0/14:1(9Z));PC(16:1(9Z)/14:0);PC(17:1(9Z)/13:0);PC(18:1(9Z)/12:0),C38H74NO8P
114,703.5516,PC(O-16:0/15:1(9Z));PC(P-16:0/15:0);PC(P-18:0/13:0),C39H78NO7P
