,MASS,COMMON_NAME,FORMULA
182,739.5152,"PE(P-16:0/20:4(5Z,8Z,10E,14Z)(12OH[S]));PE(P-16:0/20:4(5Z,8Z,11Z,13E)(15OH[S]));PE(P-16:0/20:4(6E,8Z,11Z,14Z)(5OH[S]))",C41H74NO8P
183,740.3384,PKODiA-PI,C33H57O16P
184,742.3541,PHODiA-PI,C33H59O16P
185,742.3905,PA-PI,C34H63O15P
186,745.453,OKDdiA-PC,C38H68NO11P
187,747.3959,OKDdiA-PS,C36H62NO13P
188,747.4687,OHDdiA-PC,C38H70NO11P
189,749.4115,OHDdiA-PS,C36H64NO13P
190,750.3592,OKOOA-PI,C35H59O15P
191,752.3384,OKHdiA-PI,C34H57O16P
192,752.3748,OHOOA-PI,C35H61O15P
193,752.4112,OON-PI,C36H65O14P
194,754.3541,OHHdiA-PI,C34H59O16P
195,763.5152,"PE(P-16:0/22:6(4Z,7Z,10Z,12E,16Z,19Z)(14OH))",C43H74NO8P
196,765.5309,"PE(P-18:1(9Z)/20:4(5Z,8Z,10E,14Z)(12OH[S]));PE(P-18:1(9Z)/20:4(5Z,8Z,11Z,13E)(15OH[S]));PE(P-18:1(9Z)/20:4(6E,8Z,11Z,14Z)(5OH[S]))",C43H76NO8P
197,766.3541,OKODiA-PI,C35H59O16P
198,767.5465,"PE(P-18:0/20:4(5Z,8Z,10E,14Z)(12OH[S]));PE(P-18:0/20:4(5Z,8Z,11Z,13E)(15OH[S]));PE(P-18:0/20:4(6E,8Z,11Z,14Z)(5OH[S]))",C43H78NO8P
199,768.3697,OHODiA-PI,C35H61O16P
200,768.4061,OA-PI,C36H65O15P
201,779.5101,"PE(16:0/22:6(54Z,7Z,10Z,12E,16Z,19Z)(14OH))",C43H74NO9P
202,780.4061,PKODA-PI,C37H65O15P
203,781.5258,"PE(18:0/20:4(5Z,8Z,11Z,13E)(15Ke))",C43H76NO9P
204,782.4218,PHODA-PI,C37H67O15P
205,783.5414,"PE(18:0/20:4(5Z,8Z,10E,14Z)(12OH[S]));PE(18:0/20:4(5Z,8Z,11Z,13E)(15OH[S]))",C43H78NO9P
206,791.5465,"PE(P-18:0/22:6(4Z,7Z,10Z,12E,16Z,19Z)(14OH))",C45H78NO8P
207,796.401,PKDdiA-PI,C37H65O16P
